id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
37038,boardgame,Cannibal Eyes,2007,2,4,15,15,15,0,8,4.125,0,6,0,0,4,3,0,0
216182,boardgame,Nailbiter Football,2013,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
207105,boardgameexpansion,Champions of Midgard: SeeZam Promo Card,2016,2,4,90,60,90,10,12,7.75,0,185,44,14,17,13,0,0
8315,boardgame,Spitfire!,1994,2,2,120,120,120,12,14,4.92857,0,71,11,1,2,13,2,3
208364,boardgameexpansion,Concordia: Gallia / Corsica,2016,2,5,0,0,0,0,66,8.22348,5.68298,601,0,104,352,30,1,3
11088,boardgame,Legends of Syrrith,0,1,4,90,90,90,10,0,0,0,0,0,1,5,0,0,0
35526,boardgame,Jelly Bean Jumble,2008,2,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0
54856,boardgame,Just One Die Soccer,2009,1,2,90,90,90,10,0,0,0,1,0,0,1,0,0,0
140173,boardgameexpansion,Zombicide Survivor: Ross,2013,0,0,0,0,0,13,50,7.31,5.60035,541,16,17,38,24,3,2.6667
32971,boardgameexpansion,MidEvil III:  Subterranean Homesick Blues!,2007,2,6,60,60,60,10,37,6.08919,5.51962,142,3,5,20,12,1,1
51333,boardgame,Ninja-To Go: A Ninja Burger Bored Game,2009,2,8,5,5,5,0,3,6.83333,0,9,0,0,2,2,1,2
9092,boardgame,Avalam,1996,2,2,30,30,30,8,158,6.3931,5.63486,311,16,4,19,62,15,1.9333
98189,boardgame,Casse-toi Pov'con!,2011,2,6,15,15,15,12,78,5.43077,5.49306,149,4,0,2,7,7,1.1429
25049,boardgame,Een zaak van mensen,0,2,4,15,15,15,9,1,5,0,1,0,0,0,0,0,0
19244,boardgameexpansion,Memoir '44: Terrain Pack,2005,2,2,60,30,60,8,1741,7.43809,6.76102,5277,71,153,330,509,160,2.1437
40219,boardgame,Babel,1963,3,15,20,20,20,0,4,6,0,6,0,0,0,3,0,0
127162,boardgame,Circus Fun,1950,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145394,boardgame,量子,2013,2,4,15,15,15,12,0,0,0,0,0,0,0,0,0,0
20736,boardgame,Messines: 1917,1998,2,2,180,180,180,0,3,5.33333,0,9,0,0,4,1,0,0
37667,boardgame,Snap It up Math: Multiplication,0,2,8,20,20,20,6,0,0,0,7,0,0,0,0,0,0
129746,boardgame,Lylicalion,2012,2,4,30,30,30,8,4,6.5,0,4,0,3,4,2,0,0
134837,boardgame,Keelekärg 2,2012,2,0,20,20,20,9,0,0,0,0,0,0,0,0,0,0
2770,boardgame,Stay Alive,1965,2,4,30,30,30,8,622,4.89258,5.24137,1011,64,9,28,274,65,1.2
112557,boardgame,Guild,2011,2,4,90,90,90,12,32,6.99219,5.55439,43,0,17,33,14,4,3
134756,boardgame,War-Chess: The Game of Battle,1866,2,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0
198031,boardgame,Wolf in the Village,2015,4,21,30,15,30,7,0,0,0,2,0,0,4,0,0,0
42002,boardgame,Auction Blocks,2007,3,5,60,60,60,0,3,5.83333,0,7,0,0,0,2,1,3
22928,boardgame,"Win, Lose or Draw Junior",1988,3,9,30,30,30,8,8,5.375,0,26,1,0,0,5,0,0
119026,boardgame,Spair,2012,2,2,20,20,20,8,0,0,0,0,0,0,0,0,0,0
85074,boardgame,Life Balance Board Game,0,1,4,210,210,210,0,0,0,0,1,0,0,0,0,0,0
67246,boardgame,Birmingham-Opoly,0,2,6,60,60,60,8,0,0,0,0,0,0,0,0,0,0
87969,boardgame,Les Acrobates,0,2,2,0,0,0,0,1,5,0,1,0,0,0,0,1,1
176287,boardgame,Benjamin Blümchen: Ringetauchen,1997,2,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0
76715,boardgame,Adventures on the moon,1980,2,4,30,30,30,9,0,0,0,1,0,2,0,0,0,0
128191,boardgame,Frog Prince,2012,2,6,10,10,10,4,5,3.4,0,1,0,0,0,0,0,0
28800,boardgameexpansion,Red Star / Blue Sky,1997,2,10,120,120,120,12,1,7,0,11,1,3,4,1,0,0
191893,boardgame,Gigi Gnomo,2016,2,4,30,30,30,5,10,6.98,0,11,0,0,3,2,0,0
180921,boardgame,Lutèce,2015,2,5,90,30,90,10,98,6.80969,5.63666,143,5,7,41,14,8,2.125
192558,boardgameexpansion,Japanese: The Game – Bushido Expansion,2016,1,6,0,10,0,12,0,0,0,2,0,0,0,0,0,0
34727,boardgame,Street Fighting in Berlin,2008,2,2,0,0,0,0,0,0,0,13,0,5,5,2,1,2
148350,boardgame,Battlebox: The Card Game,2013,2,4,30,30,30,10,0,0,0,0,0,0,0,0,0,0
30904,boardgame,Rhyme-n-Tyme,2006,4,0,60,60,60,8,1,5,0,3,0,0,0,1,0,0
6538,boardgame,Mystify,1997,2,20,30,30,30,12,21,4.97619,0,67,7,2,2,11,2,1.5
37804,boardgame,WWII Combined Arms,2003,2,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0
172481,boardgameexpansion,Mythic Battles: Chiron Promo card,2013,2,4,0,0,0,14,3,7.33333,0,19,6,7,12,1,0,0
21286,boardgame,Parlay,2006,2,6,30,30,30,9,153,6.0598,5.57763,253,29,3,23,89,20,1.6
20083,boardgame,People Are Funny,1954,4,12,0,0,0,0,0,0,0,5,0,0,0,1,0,0
41006,boardgame,Ordo,2009,2,2,45,45,45,8,54,7.36481,5.60459,68,0,6,36,26,7,3
39631,boardgame,Podium,2006,2,6,60,60,60,8,1,6,0,5,0,0,0,1,0,0
17424,boardgame,The Nitrate War,2005,2,5,60,60,60,12,4,3.25,0,17,0,0,0,2,0,0
206349,boardgame,Meeting Engagement,1986,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
152921,boardgameexpansion,Sails of Glory Ship Pack: HMS Bellerophon 1786 / HMS Defiance 1783,2013,1,4,45,45,45,13,13,7.42308,0,122,2,9,12,3,0,0
129955,boardgame,Dragi Drache,2012,2,4,20,20,20,4,33,5.39697,5.49613,54,2,2,7,11,1,1
42924,boardgameexpansion,Wings of War: Flight of the Giants,2010,2,4,45,45,45,10,125,7.6068,5.74537,559,18,46,92,44,8,2.25
1911,boardgame,Hollywood for Sale,1994,3,6,20,20,20,12,11,5.25455,0,40,5,0,0,3,0,0
27480,boardgame,Command Decision: Test of Battle,2006,2,2,240,240,240,12,27,7.95926,0,55,0,4,7,16,13,3.1538
40621,boardgame,LDSopoly,2008,2,8,180,180,180,0,0,0,0,1,0,0,0,1,0,0
176212,boardgame,Oolong,2015,2,2,30,15,30,10,3,6.16667,0,3,0,0,0,0,0,0
38159,boardgame,Ultimate Werewolf: Ultimate Edition,2008,5,68,90,30,90,8,2947,7.17306,6.75397,5025,178,112,719,680,146,1.4932
158243,boardgame,Dragon Slayer,2014,2,5,15,15,15,14,1351,5.6769,5.58908,2953,261,14,67,450,82,1.0854
25649,boardgame,Jambo: The World Game,2002,2,6,0,0,0,10,1,2,0,12,1,1,1,2,1,1
125654,boardgameexpansion,Dark Horse: The Kickstarter,2012,1,4,90,90,90,10,6,6.7,0,92,5,2,8,5,0,0
20150,boardgame,Zero-to-Heroes,2005,2,5,0,0,0,12,2,4.25,0,0,0,0,0,2,0,0
37590,boardgameexpansion,More Eye To Eye,2008,3,6,30,30,30,8,6,6.59167,0,12,0,3,4,4,3,1
37058,boardgame,Microshogi,1982,2,2,5,5,5,6,4,6.25,0,10,0,0,1,1,0,0
4812,boardgame,Rules of the Game,1995,2,6,45,45,45,10,38,3.98684,5.43188,102,24,0,1,28,7,1.4286
74023,boardgame,The Second Great War,0,3,5,240,240,240,13,4,7.75,0,1,0,0,0,1,1,4
71108,boardgame,Cabaret Pret,2006,2,5,25,25,25,12,0,0,0,0,0,0,0,0,0,0
115215,boardgameexpansion,Anima Tactics: XII,2009,2,2,60,60,60,12,1,4,0,5,0,0,0,0,1,2
17423,boardgame,Sneak-a-Snack,1999,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0
